-- dump date   	20080125_165742
-- class       	Genbank::Feature
-- table       	feature_names
-- id	names
NP_414556.1	ECK0015	alternate
NP_414556.1	grpC	alternate
NP_414556.1	JW0014	alternate
NP_414556.1	groP	alternate
NP_414556.1	16128009	alternate
NP_414556.1	944753	alternate
NP_414556.1	b0015	alternate
NP_414556.1	NP_414556	alternate
NP_414557.1	insL	primary
NP_414557.1	b0016	alternate
NP_414557.1	944754	alternate
NP_414557.1	16128010	alternate
NP_414557.1	NP_414557.1	alternate
NP_414557.1	ECK0016	alternate
NP_414557.1	16128010	alternate
NP_414557.1	944754	alternate
NP_414557.1	b0016	alternate
NP_414557.1	NP_414557	alternate
NP_414559.1	mokC	primary
NP_414559.1	b0018	alternate
NP_414559.1	944756	alternate
NP_414559.1	16128012	alternate
NP_414559.1	NP_414559.1	alternate
NP_414559.1	ECK4466	alternate
NP_414559.1	gefL	alternate
NP_414559.1	16128012	alternate
NP_414559.1	944756	alternate
NP_414559.1	b0018	alternate
NP_414559.1	NP_414559	alternate
YP_025292.1	hokC	primary
YP_025292.1	b4412	alternate
YP_025292.1	2847744	alternate
YP_025292.1	49175991	alternate
YP_025292.1	YP_025292.1	alternate
YP_025292.1	ECK0018	alternate
YP_025292.1	gef	alternate
YP_025292.1	JW5879	alternate
YP_025292.1	49175991	alternate
YP_025292.1	2847744	alternate
YP_025292.1	b4412	alternate
YP_025292.1	YP_025292	alternate
NP_414560.1	nhaA	primary
NP_414560.1	b0019	alternate
NP_414560.1	944758	alternate
NP_414560.1	16128013	alternate
NP_414560.1	NP_414560.1	alternate
NP_414560.1	ECK0020	alternate
NP_414560.1	ant	alternate
NP_414560.1	antA	alternate
NP_414560.1	JW0018	alternate
NP_414560.1	16128013	alternate
NP_414560.1	944758	alternate
NP_414560.1	b0019	alternate
NP_414560.1	NP_414560	alternate
NP_414561.1	nhaR	primary
NP_414561.1	b0020	alternate
NP_414561.1	944757	alternate
NP_414561.1	16128014	alternate
NP_414561.1	NP_414561.1	alternate
NP_414561.1	ECK0021	alternate
NP_414561.1	JW0019	alternate
NP_414561.1	yaaB	alternate
NP_414561.1	antO	alternate
NP_414561.1	16128014	alternate
NP_414561.1	944757	alternate
NP_414561.1	b0020	alternate
NP_414561.1	NP_414561	alternate
NP_414562.1	insB	primary
NP_414562.1	b0021	alternate
NP_414562.1	944743	alternate
NP_414562.1	16128015	alternate
NP_414562.1	NP_414562.1	alternate
NP_414562.1	ECK0022	alternate
NP_414562.1	16128015	alternate
NP_414562.1	944743	alternate
NP_414562.1	b0021	alternate
NP_414562.1	NP_414562	alternate
NP_414563.1	insA	primary
NP_414563.1	b0022	alternate
NP_414563.1	948449	alternate
NP_414563.1	16128016	alternate
NP_414563.1	NP_414563.1	alternate
